"","ASV","taxon","taxonomic_level"
"606","ASV_0936","Myoxocephalus 2","genus"
"607","ASV_1039","Myoxocephalus 2","genus"
"608","ASV_1039","Myoxocephalus 2","genus"
"609","ASV_1039","Myoxocephalus 2","genus"
"610","ASV_1107","Artediellus","genus"
"611","ASV_1107","Artediellus","genus"
"612","ASV_1132","Myoxocephalus 2","genus"
"613","ASV_1132","Myoxocephalus 2","genus"
"614","ASV_1132","Myoxocephalus 2","genus"
"615","ASV_0079","Leptoclinus maculatus","species"
"616","ASV_0619","Leptoclinus maculatus","species"
"617","ASV_0004","Stichaeidae 1","family"
"618","ASV_0004","Stichaeidae 1","family"
"619","ASV_0015","Anisarchus medius","species"
"620","ASV_0065","Stichaeidae 1","family"
"621","ASV_0065","Stichaeidae 1","family"
"622","ASV_0152","Stichaeidae 1","family"
"623","ASV_0152","Stichaeidae 1","family"
"624","ASV_0174","Anisarchus medius","species"
"625","ASV_0183","Stichaeidae 1","family"
"626","ASV_0183","Stichaeidae 1","family"
"627","ASV_0210","Stichaeidae 1","family"
"628","ASV_0210","Stichaeidae 1","family"
"629","ASV_0235","Lumpenus sagitta","species"
"630","ASV_0240","Agonidae","family"
"631","ASV_0240","Agonidae","family"
"632","ASV_0243","Stichaeidae 1","family"
"633","ASV_0243","Stichaeidae 1","family"
"634","ASV_0247","Stichaeidae 1","family"
"635","ASV_0247","Stichaeidae 1","family"
"636","ASV_0370","Anisarchus medius","species"
"637","ASV_0392","Stichaeidae 1","family"
"638","ASV_0392","Stichaeidae 1","family"
"639","ASV_0426","Anisarchus medius","species"
"640","ASV_0433","Stichaeidae 1","family"
"641","ASV_0433","Stichaeidae 1","family"
"642","ASV_0603","Stichaeidae 1","family"
"643","ASV_0603","Stichaeidae 1","family"
"644","ASV_0699","Stichaeidae 1","family"
"645","ASV_0699","Stichaeidae 1","family"
"646","ASV_0798","Stichaeidae 1","family"
"647","ASV_0798","Stichaeidae 1","family"
"648","ASV_0854","Stichaeidae 1","family"
"649","ASV_0854","Stichaeidae 1","family"
"650","ASV_0862","Stichaeidae 1","family"
"651","ASV_0862","Stichaeidae 1","family"
"652","ASV_0881","Anisarchus medius","species"
"653","ASV_0997","Stichaeidae 1","family"
"654","ASV_0997","Stichaeidae 1","family"
"655","ASV_1055","Anisarchus medius","species"
"656","ASV_1094","Stichaeidae 1","family"
"657","ASV_1094","Stichaeidae 1","family"
"658","ASV_1105","Stichaeidae 1","family"
"659","ASV_1105","Stichaeidae 1","family"
"660","ASV_1134","Stichaeidae 1","family"
"661","ASV_1134","Stichaeidae 1","family"
"662","ASV_1245","Stichaeidae 1","family"
"663","ASV_1245","Stichaeidae 1","family"
"664","ASV_1287","Stichaeidae 1","family"
"665","ASV_1287","Stichaeidae 1","family"
"666","ASV_1520","Stichaeidae 1","family"
"667","ASV_1520","Stichaeidae 1","family"
"668","ASV_0020","Lycodes polaris","species"
"669","ASV_0029","Liparis tunicatus","species"
"670","ASV_0030","Hexagrammos","genus"
"671","ASV_0030","Hexagrammos","genus"
"672","ASV_0030","Hexagrammos","genus"
"673","ASV_0053","Liparis","genus"
"674","ASV_0053","Liparis","genus"
"675","ASV_0053","Liparis","genus"
"676","ASV_0054","Gymnelus","genus"
"677","ASV_0054","Gymnelus","genus"
"678","ASV_0056","Liparis","genus"
"679","ASV_0056","Liparis","genus"
"680","ASV_0060","Salvelinus","genus"
"681","ASV_0060","Salvelinus","genus"
"682","ASV_0068","Anoplarchus","genus"
"683","ASV_0068","Anoplarchus","genus"
"684","ASV_0090","Lycodes polaris","species"
"685","ASV_0107","Salvelinus","genus"
"686","ASV_0107","Salvelinus","genus"
"687","ASV_0111","Xiphister","genus"
"688","ASV_0111","Xiphister","genus"
"689","ASV_0146","Lycodes polaris","species"
"690","ASV_0163","Hexagrammos","genus"
"691","ASV_0163","Hexagrammos","genus"
"692","ASV_0163","Hexagrammos","genus"
"693","ASV_0165","Lycodes polaris","species"
"694","ASV_0167","Lycodes polaris","species"
"695","ASV_0178","Hexagrammos","genus"
"696","ASV_0178","Hexagrammos","genus"
"697","ASV_0178","Hexagrammos","genus"
"698","ASV_0191","Bathymaster","genus"
"699","ASV_0191","Bathymaster","genus"
"700","ASV_0194","Bathymaster","genus"
"701","ASV_0194","Bathymaster","genus"
"702","ASV_0202","Bathymaster","genus"
"703","ASV_0202","Bathymaster","genus"
"704","ASV_0211","Hexagrammos","genus"
"705","ASV_0211","Hexagrammos","genus"
"706","ASV_0211","Hexagrammos","genus"
"707","ASV_0218","Salvelinus","genus"
"708","ASV_0218","Salvelinus","genus"
"709","ASV_0220","Hexagrammos","genus"
"710","ASV_0220","Hexagrammos","genus"
"711","ASV_0220","Hexagrammos","genus"
"712","ASV_0230","Bathymaster","genus"
"713","ASV_0230","Bathymaster","genus"
"714","ASV_0237","Ammodytes","genus"
"715","ASV_0237","Ammodytes","genus"
"716","ASV_0251","Hexagrammos","genus"
"717","ASV_0251","Hexagrammos","genus"
"718","ASV_0251","Hexagrammos","genus"
"719","ASV_0267","Gymnelus","genus"
"720","ASV_0267","Gymnelus","genus"
"721","ASV_0271","Salvelinus","genus"
"722","ASV_0271","Salvelinus","genus"
"723","ASV_0282","Lycodes","genus"
"724","ASV_0282","Lycodes","genus"
"725","ASV_0284","Liparis","genus"
"726","ASV_0284","Liparis","genus"
"727","ASV_0290","Salvelinus","genus"
"728","ASV_0290","Salvelinus","genus"
"729","ASV_0303","Salvelinus","genus"
"730","ASV_0303","Salvelinus","genus"
"731","ASV_0315","Hexagrammos","genus"
"732","ASV_0315","Hexagrammos","genus"
"733","ASV_0315","Hexagrammos","genus"
"734","ASV_0319","Liparis tunicatus","species"
"735","ASV_0335","Anoplarchus","genus"
"736","ASV_0335","Anoplarchus","genus"
"737","ASV_0346","Gymnelus","genus"
"738","ASV_0346","Gymnelus","genus"
"739","ASV_0360","Anoplarchus","genus"
"740","ASV_0360","Anoplarchus","genus"
"741","ASV_0377","Hexagrammos","genus"
"742","ASV_0377","Hexagrammos","genus"
"743","ASV_0377","Hexagrammos","genus"
"744","ASV_0381","Hexagrammos","genus"
"745","ASV_0381","Hexagrammos","genus"
"746","ASV_0381","Hexagrammos","genus"
"747","ASV_0390","Gymnelus","genus"
"748","ASV_0390","Gymnelus","genus"
"749","ASV_0411","Salvelinus","genus"
"750","ASV_0411","Salvelinus","genus"
"751","ASV_0416","Hexagrammos","genus"
"752","ASV_0416","Hexagrammos","genus"
"753","ASV_0416","Hexagrammos","genus"
"754","ASV_0417","Hexagrammos","genus"
"755","ASV_0417","Hexagrammos","genus"
"756","ASV_0417","Hexagrammos","genus"
"757","ASV_0438","Hexagrammos","genus"
"758","ASV_0438","Hexagrammos","genus"
"759","ASV_0438","Hexagrammos","genus"
"760","ASV_0447","Liparis","genus"
"761","ASV_0447","Liparis","genus"
"762","ASV_0447","Liparis","genus"
"763","ASV_0455","Liparis","genus"
"764","ASV_0455","Liparis","genus"
"765","ASV_0455","Liparis","genus"
"766","ASV_0465","Salvelinus","genus"
"767","ASV_0465","Salvelinus","genus"
"768","ASV_0495","Liparis","genus"
"769","ASV_0495","Liparis","genus"
"770","ASV_0594","Lycodes polaris","species"
"771","ASV_0684","Gymnelus","genus"
"772","ASV_0684","Gymnelus","genus"
"773","ASV_0757","Anoplarchus","genus"
"774","ASV_0757","Anoplarchus","genus"
"775","ASV_0807","Lycodes polaris","species"
"776","ASV_0920","Hexagrammos","genus"
"777","ASV_0920","Hexagrammos","genus"
"778","ASV_0920","Hexagrammos","genus"
"779","ASV_0970","Hexagrammos","genus"
"780","ASV_0970","Hexagrammos","genus"
"781","ASV_0970","Hexagrammos","genus"
"782","ASV_0978","Bathymaster","genus"
"783","ASV_0978","Bathymaster","genus"
"784","ASV_0981","Hexagrammos","genus"
"785","ASV_0981","Hexagrammos","genus"
"786","ASV_0981","Hexagrammos","genus"
"787","ASV_0989","Liparis tunicatus","species"
"788","ASV_1002","Anoplarchus","genus"
"789","ASV_1002","Anoplarchus","genus"
"790","ASV_1005","Xiphister","genus"
"791","ASV_1005","Xiphister","genus"
"792","ASV_1011","Hexagrammos","genus"
"793","ASV_1011","Hexagrammos","genus"
"794","ASV_1011","Hexagrammos","genus"
"795","ASV_1027","Bathymaster","genus"
"796","ASV_1027","Bathymaster","genus"
"797","ASV_1029","Lycodes","genus"
"798","ASV_1029","Lycodes","genus"
"799","ASV_1032","Hexagrammos","genus"
"800","ASV_1032","Hexagrammos","genus"
"801","ASV_1032","Hexagrammos","genus"
"802","ASV_1047","Anoplarchus","genus"
"803","ASV_1047","Anoplarchus","genus"
"804","ASV_1088","Lycodes polaris","species"
"805","ASV_1217","Hexagrammos","genus"
"806","ASV_1217","Hexagrammos","genus"
"807","ASV_1217","Hexagrammos","genus"
"808","ASV_1236","Hexagrammos","genus"
"809","ASV_1236","Hexagrammos","genus"
"810","ASV_1236","Hexagrammos","genus"
"811","ASV_1323","Leuroglossus schmidti","species"
"812","ASV_1331","Liparis","genus"
"813","ASV_1331","Liparis","genus"
"814","ASV_1346","Blepsias bilobus","species"
"815","ASV_1353","Lycodes polaris","species"
"816","ASV_1413","Hexagrammos","genus"
"817","ASV_1413","Hexagrammos","genus"
"818","ASV_1413","Hexagrammos","genus"
"819","ASV_1463","Hexagrammos","genus"
"820","ASV_1463","Hexagrammos","genus"
"821","ASV_1463","Hexagrammos","genus"
"822","ASV_1499","Salvelinus","genus"
"823","ASV_1499","Salvelinus","genus"
"824","ASV_1534","Salvelinus","genus"
"825","ASV_1534","Salvelinus","genus"
"826","ASV_0001","Gadus chalcogrammus","species"
"827","ASV_0006","Boreogadus saida","species"
"828","ASV_0007","Gadus chalcogrammus","species"
"829","ASV_0009","Gadus chalcogrammus","species"
"830","ASV_0012","Eleginus gracilis","species"
"831","ASV_0032","Gadus chalcogrammus","species"
"832","ASV_0041","Gadus chalcogrammus","species"
"833","ASV_0045","Gadus chalcogrammus","species"
"834","ASV_0051","Gadus chalcogrammus","species"
"835","ASV_0067","Gadus chalcogrammus","species"
"836","ASV_0069","Gadus chalcogrammus","species"
"837","ASV_0070","Gadus chalcogrammus","species"
"838","ASV_0072","Gadus chalcogrammus","species"
"839","ASV_0073","Gadus chalcogrammus","species"
"840","ASV_0074","Gadus macrocephalus","species"
"841","ASV_0075","Gadus chalcogrammus","species"
"842","ASV_0076","Gadus chalcogrammus","species"
"843","ASV_0080","Gadus chalcogrammus","species"
"844","ASV_0084","Gadus macrocephalus","species"
"845","ASV_0091","Gadus chalcogrammus","species"
"846","ASV_0097","Gadus chalcogrammus","species"
"847","ASV_0102","Gadus chalcogrammus","species"
"848","ASV_0114","Gadus chalcogrammus","species"
"849","ASV_0116","Gadus chalcogrammus","species"
"850","ASV_0118","Gadus chalcogrammus","species"
"851","ASV_0121","Gadus chalcogrammus","species"
"852","ASV_0126","Eleginus gracilis","species"
"853","ASV_0133","Gadus chalcogrammus","species"
"854","ASV_0135","Gadus chalcogrammus","species"
"855","ASV_0141","Gadus chalcogrammus","species"
"856","ASV_0158","Gadus chalcogrammus","species"
"857","ASV_0164","Gadus chalcogrammus","species"
"858","ASV_0168","Gadus chalcogrammus","species"
"859","ASV_0169","Gadus chalcogrammus","species"
"860","ASV_0172","Gadus chalcogrammus","species"
"861","ASV_0173","Gadus macrocephalus","species"
"862","ASV_0177","Gadus chalcogrammus","species"
"863","ASV_0179","Gadus chalcogrammus","species"
"864","ASV_0180","Gadus chalcogrammus","species"
"865","ASV_0182","Boreogadus saida","species"
"866","ASV_0187","Boreogadus saida","species"
"867","ASV_0192","Gadus chalcogrammus","species"
"868","ASV_0198","Gadus chalcogrammus","species"
"869","ASV_0215","Gadus chalcogrammus","species"
"870","ASV_0219","Gadus chalcogrammus","species"
"871","ASV_0223","Gadus chalcogrammus","species"
"872","ASV_0225","Eleginus gracilis","species"
"873","ASV_0226","Gadus chalcogrammus","species"
"874","ASV_0231","Gadus chalcogrammus","species"
"875","ASV_0233","Gadus chalcogrammus","species"
"876","ASV_0236","Gadus chalcogrammus","species"
"877","ASV_0246","Gadus chalcogrammus","species"
"878","ASV_0257","Gadus chalcogrammus","species"
"879","ASV_0260","Gadus chalcogrammus","species"
"880","ASV_0268","Gadus chalcogrammus","species"
"881","ASV_0269","Gadus chalcogrammus","species"
"882","ASV_0279","Gadus chalcogrammus","species"
"883","ASV_0283","Gadus chalcogrammus","species"
"884","ASV_0287","Gadus chalcogrammus","species"
"885","ASV_0289","Gadus chalcogrammus","species"
"886","ASV_0295","Gadus chalcogrammus","species"
"887","ASV_0297","Gadus chalcogrammus","species"
"888","ASV_0301","Gadus chalcogrammus","species"
"889","ASV_0306","Gadus chalcogrammus","species"
"890","ASV_0308","Gadus chalcogrammus","species"
"891","ASV_0311","Gadus chalcogrammus","species"
"892","ASV_0316","Gadus chalcogrammus","species"
"893","ASV_0327","Gadus chalcogrammus","species"
"894","ASV_0336","Gadus chalcogrammus","species"
"895","ASV_0337","Eleginus gracilis","species"
"896","ASV_0338","Arctogadus glacialis","species"
"897","ASV_0344","Gadus chalcogrammus","species"
"898","ASV_0347","Gadus chalcogrammus","species"
"899","ASV_0348","Eleginus gracilis","species"
"900","ASV_0353","Gadus chalcogrammus","species"
"901","ASV_0361","Gadus chalcogrammus","species"
"902","ASV_0362","Gadus chalcogrammus","species"
"903","ASV_0367","Gadus chalcogrammus","species"
"904","ASV_0371","Eleginus gracilis","species"
"905","ASV_0379","Gadus chalcogrammus","species"
"906","ASV_0383","Gadus chalcogrammus","species"
"907","ASV_0385","Gadus chalcogrammus","species"
"908","ASV_0391","Gadus chalcogrammus","species"
"909","ASV_0394","Eleginus gracilis","species"
"910","ASV_0396","Gadus chalcogrammus","species"
"911","ASV_0397","Gadus chalcogrammus","species"
"912","ASV_0399","Gadus chalcogrammus","species"
"913","ASV_0423","Gadus chalcogrammus","species"
"914","ASV_0435","Gadus chalcogrammus","species"
"915","ASV_0443","Gadus chalcogrammus","species"
"916","ASV_0444","Gadus chalcogrammus","species"
"917","ASV_0449","Gadus chalcogrammus","species"
"918","ASV_0450","Gadus chalcogrammus","species"
"919","ASV_0452","Gadus chalcogrammus","species"
"920","ASV_0454","Gadus macrocephalus","species"
"921","ASV_0456","Gadus chalcogrammus","species"
"922","ASV_0459","Gadus chalcogrammus","species"
"923","ASV_0460","Gadus chalcogrammus","species"
"924","ASV_0466","Gadus chalcogrammus","species"
"925","ASV_0467","Eleginus gracilis","species"
"926","ASV_0468","Gadus chalcogrammus","species"
"927","ASV_0477","Gadus chalcogrammus","species"
"928","ASV_0478","Gadus chalcogrammus","species"
"929","ASV_0487","Gadus chalcogrammus","species"
"930","ASV_0496","Gadus chalcogrammus","species"
"931","ASV_0499","Gadus chalcogrammus","species"
"932","ASV_0504","Gadus chalcogrammus","species"
"933","ASV_0520","Gadus chalcogrammus","species"
"934","ASV_0521","Gadus chalcogrammus","species"
"935","ASV_0522","Gadus chalcogrammus","species"
"936","ASV_0524","Gadus chalcogrammus","species"
"937","ASV_0526","Gadus chalcogrammus","species"
"938","ASV_0534","Gadus chalcogrammus","species"
"939","ASV_0535","Eleginus gracilis","species"
"940","ASV_0537","Gadus chalcogrammus","species"
"941","ASV_0541","Eleginus gracilis","species"
"942","ASV_0542","Gadus chalcogrammus","species"
"943","ASV_0544","Gadus chalcogrammus","species"
"944","ASV_0551","Gadus chalcogrammus","species"
"945","ASV_0554","Gadus chalcogrammus","species"
"946","ASV_0558","Gadus chalcogrammus","species"
"947","ASV_0559","Gadus chalcogrammus","species"
"948","ASV_0562","Gadus chalcogrammus","species"
"949","ASV_0565","Gadus chalcogrammus","species"
"950","ASV_0567","Gadus chalcogrammus","species"
"951","ASV_0570","Gadus chalcogrammus","species"
"952","ASV_0573","Gadus chalcogrammus","species"
"953","ASV_0574","Gadus chalcogrammus","species"
"954","ASV_0577","Gadus chalcogrammus","species"
"955","ASV_0590","Gadus chalcogrammus","species"
"956","ASV_0595","Gadus chalcogrammus","species"
"957","ASV_0600","Gadus chalcogrammus","species"
"958","ASV_0601","Eleginus gracilis","species"
"959","ASV_0606","Gadus chalcogrammus","species"
"960","ASV_0616","Gadus chalcogrammus","species"
"961","ASV_0621","Gadus chalcogrammus","species"
"962","ASV_0629","Gadus chalcogrammus","species"
"963","ASV_0633","Gadus chalcogrammus","species"
"964","ASV_0640","Gadus chalcogrammus","species"
"965","ASV_0649","Gadus chalcogrammus","species"
"966","ASV_0652","Eleginus gracilis","species"
"967","ASV_0657","Gadus chalcogrammus","species"
"968","ASV_0658","Gadus chalcogrammus","species"
"969","ASV_0664","Gadus chalcogrammus","species"
"970","ASV_0665","Gadus chalcogrammus","species"
"971","ASV_0667","Gadus chalcogrammus","species"
"972","ASV_0669","Eleginus gracilis","species"
"973","ASV_0675","Gadus chalcogrammus","species"
"974","ASV_0686","Gadus chalcogrammus","species"
"975","ASV_0695","Gadus chalcogrammus","species"
"976","ASV_0698","Gadus chalcogrammus","species"
"977","ASV_0700","Gadus chalcogrammus","species"
"978","ASV_0703","Gadus chalcogrammus","species"
"979","ASV_0705","Gadus chalcogrammus","species"
"980","ASV_0708","Eleginus gracilis","species"
"981","ASV_0712","Gadus chalcogrammus","species"
"982","ASV_0716","Eleginus gracilis","species"
"983","ASV_0719","Gadus chalcogrammus","species"
"984","ASV_0720","Gadus chalcogrammus","species"
"985","ASV_0722","Eleginus gracilis","species"
"986","ASV_0725","Gadus chalcogrammus","species"
"987","ASV_0726","Gadus chalcogrammus","species"
"988","ASV_0730","Gadus chalcogrammus","species"
"989","ASV_0734","Gadus chalcogrammus","species"
"990","ASV_0744","Gadus chalcogrammus","species"
"991","ASV_0750","Gadus chalcogrammus","species"
"992","ASV_0763","Gadus chalcogrammus","species"
"993","ASV_0765","Gadus chalcogrammus","species"
"994","ASV_0769","Gadus chalcogrammus","species"
"995","ASV_0774","Eleginus gracilis","species"
"996","ASV_0775","Gadus chalcogrammus","species"
"997","ASV_0776","Eleginus gracilis","species"
"998","ASV_0796","Gadus chalcogrammus","species"
"999","ASV_0797","Gadus chalcogrammus","species"
"1000","ASV_0799","Eleginus gracilis","species"
"1001","ASV_0804","Eleginus gracilis","species"
"1002","ASV_0806","Gadus chalcogrammus","species"
"1003","ASV_0814","Gadus chalcogrammus","species"
"1004","ASV_0818","Eleginus gracilis","species"
"1005","ASV_0820","Gadus chalcogrammus","species"
"1006","ASV_0822","Gadus chalcogrammus","species"
"1007","ASV_0832","Gadus chalcogrammus","species"
"1008","ASV_0839","Gadus chalcogrammus","species"
"1009","ASV_0847","Eleginus gracilis","species"
"1010","ASV_0848","Gadus chalcogrammus","species"
"1011","ASV_0852","Gadus chalcogrammus","species"
"1012","ASV_0860","Eleginus gracilis","species"
"1013","ASV_0869","Eleginus gracilis","species"
"1014","ASV_0876","Gadus chalcogrammus","species"
"1015","ASV_0878","Gadus chalcogrammus","species"
"1016","ASV_0879","Gadus chalcogrammus","species"
"1017","ASV_0886","Gadus chalcogrammus","species"
"1018","ASV_0888","Gadus chalcogrammus","species"
"1019","ASV_0892","Eleginus gracilis","species"
"1020","ASV_0899","Gadus chalcogrammus","species"
"1021","ASV_0900","Gadus chalcogrammus","species"
"1022","ASV_0902","Gadus chalcogrammus","species"
"1023","ASV_0907","Gadus chalcogrammus","species"
"1024","ASV_0913","Gadus chalcogrammus","species"
"1025","ASV_0917","Gadus chalcogrammus","species"
"1026","ASV_0928","Gadus chalcogrammus","species"
"1027","ASV_0931","Gadus chalcogrammus","species"
"1028","ASV_0937","Gadus chalcogrammus","species"
"1029","ASV_0938","Gadus chalcogrammus","species"
"1030","ASV_0944","Gadus chalcogrammus","species"
"1031","ASV_0955","Gadus chalcogrammus","species"
"1032","ASV_0964","Gadus chalcogrammus","species"
"1033","ASV_0980","Eleginus gracilis","species"
"1034","ASV_0983","Gadus chalcogrammus","species"
"1035","ASV_0992","Gadus chalcogrammus","species"
"1036","ASV_1008","Gadus chalcogrammus","species"
"1037","ASV_1016","Gadus chalcogrammus","species"
"1038","ASV_1022","Gadus chalcogrammus","species"
"1039","ASV_1035","Gadus chalcogrammus","species"
"1040","ASV_1038","Boreogadus saida","species"
"1041","ASV_1041","Gadus chalcogrammus","species"
"1042","ASV_1042","Gadus chalcogrammus","species"
"1043","ASV_1045","Gadus chalcogrammus","species"
"1044","ASV_1050","Eleginus gracilis","species"
"1045","ASV_1051","Gadus chalcogrammus","species"
"1046","ASV_1061","Gadus chalcogrammus","species"
"1047","ASV_1068","Gadus chalcogrammus","species"
"1048","ASV_1069","Gadus chalcogrammus","species"
"1049","ASV_1072","Gadus chalcogrammus","species"
"1050","ASV_1079","Gadus chalcogrammus","species"
"1051","ASV_1084","Eleginus gracilis","species"
"1052","ASV_1085","Gadus chalcogrammus","species"
"1053","ASV_1092","Gadus chalcogrammus","species"
"1054","ASV_1096","Gadus chalcogrammus","species"
"1055","ASV_1097","Gadus chalcogrammus","species"
"1056","ASV_1099","Gadus chalcogrammus","species"
"1057","ASV_1101","Gadus chalcogrammus","species"
"1058","ASV_1116","Eleginus gracilis","species"
"1059","ASV_1117","Gadus chalcogrammus","species"
"1060","ASV_1120","Gadus chalcogrammus","species"
"1061","ASV_1122","Gadus chalcogrammus","species"
"1062","ASV_1123","Gadus macrocephalus","species"
"1063","ASV_1125","Gadus chalcogrammus","species"
"1064","ASV_1137","Gadus chalcogrammus","species"
"1065","ASV_1140","Gadus chalcogrammus","species"
"1066","ASV_1145","Gadus chalcogrammus","species"
"1067","ASV_1161","Gadus chalcogrammus","species"
"1068","ASV_1171","Eleginus gracilis","species"
"1069","ASV_1174","Gadus chalcogrammus","species"
"1070","ASV_1175","Gadus chalcogrammus","species"
"1071","ASV_1178","Gadus chalcogrammus","species"
"1072","ASV_1179","Eleginus gracilis","species"
"1073","ASV_1208","Gadus chalcogrammus","species"
"1074","ASV_1209","Gadus chalcogrammus","species"
"1075","ASV_1216","Eleginus gracilis","species"
"1076","ASV_1219","Gadus chalcogrammus","species"
"1077","ASV_1231","Gadus chalcogrammus","species"
"1078","ASV_1235","Boreogadus saida","species"
"1079","ASV_1241","Gadus chalcogrammus","species"
"1080","ASV_1247","Gadus chalcogrammus","species"
"1081","ASV_1249","Gadus chalcogrammus","species"
"1082","ASV_1258","Gadus chalcogrammus","species"
"1083","ASV_1260","Arctogadus glacialis","species"
"1084","ASV_1263","Gadus chalcogrammus","species"
"1085","ASV_1273","Gadus chalcogrammus","species"
"1086","ASV_1279","Gadus chalcogrammus","species"
"1087","ASV_1280","Gadus chalcogrammus","species"
"1088","ASV_1285","Gadus chalcogrammus","species"
"1089","ASV_1289","Gadus chalcogrammus","species"
"1090","ASV_1293","Gadus chalcogrammus","species"
"1091","ASV_1294","Gadus chalcogrammus","species"
"1092","ASV_1295","Gadus chalcogrammus","species"
"1093","ASV_1299","Gadus chalcogrammus","species"
"1094","ASV_1308","Gadus chalcogrammus","species"
"1095","ASV_1309","Gadus chalcogrammus","species"
"1096","ASV_1313","Gadus chalcogrammus","species"
"1097","ASV_1314","Gadus chalcogrammus","species"
"1098","ASV_1317","Gadus chalcogrammus","species"
"1099","ASV_1326","Gadus chalcogrammus","species"
"1100","ASV_1335","Gadus chalcogrammus","species"
"1101","ASV_1338","Gadus chalcogrammus","species"
"1102","ASV_1360","Gadus chalcogrammus","species"
"1103","ASV_1362","Gadus chalcogrammus","species"
"1104","ASV_1368","Gadus chalcogrammus","species"
"1105","ASV_1369","Gadus chalcogrammus","species"
"1106","ASV_1376","Gadus chalcogrammus","species"
"1107","ASV_1378","Gadus chalcogrammus","species"
"1108","ASV_1386","Gadus chalcogrammus","species"
"1109","ASV_1388","Gadus chalcogrammus","species"
"1110","ASV_1408","Gadus chalcogrammus","species"
"1111","ASV_1420","Gadus chalcogrammus","species"
"1112","ASV_1438","Gadus chalcogrammus","species"
"1113","ASV_1466","Gadus chalcogrammus","species"
"1114","ASV_1483","Gadus chalcogrammus","species"
"1115","ASV_1522","Gadus chalcogrammus","species"
"1116","ASV_1525","Gadus chalcogrammus","species"
"1117","ASV_1544","Gadus chalcogrammus","species"
"1118","ASV_0011","Gadus","genus"
"1119","ASV_0011","Gadus","genus"
"1120","ASV_0052","Gadus","genus"
"1121","ASV_0052","Gadus","genus"
"1122","ASV_0078","Gadus","genus"
"1123","ASV_0078","Gadus","genus"
"1124","ASV_0081","Gadus","genus"
"1125","ASV_0081","Gadus","genus"
"1126","ASV_0088","Gadus","genus"
"1127","ASV_0088","Gadus","genus"
"1128","ASV_0099","Gadus","genus"
"1129","ASV_0099","Gadus","genus"
"1130","ASV_0119","Gadus","genus"
"1131","ASV_0119","Gadus","genus"
"1132","ASV_0142","Gadus","genus"
"1133","ASV_0142","Gadus","genus"
"1134","ASV_0154","Gadus","genus"
"1135","ASV_0166","Gadus","genus"
"1136","ASV_0166","Gadus","genus"
"1137","ASV_0197","Gadus","genus"
"1138","ASV_0197","Gadus","genus"
"1139","ASV_0206","Gadus","genus"
"1140","ASV_0206","Gadus","genus"
"1141","ASV_0278","Gadus","genus"
"1142","ASV_0278","Gadus","genus"
"1143","ASV_0286","Gadus","genus"
"1144","ASV_0286","Gadus","genus"
"1145","ASV_0309","Gadus","genus"
"1146","ASV_0309","Gadus","genus"
"1147","ASV_0326","Gadus","genus"
"1148","ASV_0326","Gadus","genus"
"1149","ASV_0329","Gadus","genus"
"1150","ASV_0329","Gadus","genus"
"1151","ASV_0376","Gadus","genus"
"1152","ASV_0376","Gadus","genus"
"1153","ASV_0378","Gadus","genus"
"1154","ASV_0378","Gadus","genus"
"1155","ASV_0387","Gadus","genus"
"1156","ASV_0387","Gadus","genus"
"1157","ASV_0400","Gadus","genus"
"1158","ASV_0400","Gadus","genus"
"1159","ASV_0404","Gadus","genus"
"1160","ASV_0404","Gadus","genus"
"1161","ASV_0431","Gadus","genus"
"1162","ASV_0431","Gadus","genus"
"1163","ASV_0446","Gadus","genus"
"1164","ASV_0446","Gadus","genus"
"1165","ASV_0518","Gadus","genus"
"1166","ASV_0518","Gadus","genus"
"1167","ASV_0529","Gadus","genus"
"1168","ASV_0529","Gadus","genus"
"1169","ASV_0557","Gadus","genus"
"1170","ASV_0557","Gadus","genus"
"1171","ASV_0572","Gadus","genus"
"1172","ASV_0572","Gadus","genus"
"1173","ASV_0582","Gadus","genus"
"1174","ASV_0582","Gadus","genus"
"1175","ASV_0646","Gadus","genus"
"1176","ASV_0646","Gadus","genus"
"1177","ASV_0655","Gadus","genus"
"1178","ASV_0655","Gadus","genus"
"1179","ASV_0696","Gadus","genus"
"1180","ASV_0696","Gadus","genus"
"1181","ASV_0754","Gadus","genus"
"1182","ASV_0754","Gadus","genus"
"1183","ASV_0803","Gadus","genus"
"1184","ASV_0812","Gadus","genus"
"1185","ASV_0812","Gadus","genus"
"1186","ASV_0815","Gadus","genus"
"1187","ASV_0815","Gadus","genus"
"1188","ASV_0864","Gadus","genus"
"1189","ASV_0864","Gadus","genus"
"1190","ASV_0905","Gadus","genus"
"1191","ASV_0905","Gadus","genus"
"1192","ASV_0915","Gadus","genus"
"1193","ASV_0915","Gadus","genus"
"1194","ASV_0950","Gadus","genus"
"1195","ASV_0950","Gadus","genus"
"1196","ASV_0954","Gadus","genus"
"1197","ASV_0954","Gadus","genus"
"1198","ASV_0967","Gadus","genus"
"1199","ASV_0967","Gadus","genus"
"1200","ASV_0971","Gadus","genus"
"1201","ASV_0971","Gadus","genus"
"1202","ASV_1020","Gadus","genus"
"1203","ASV_1020","Gadus","genus"
"1204","ASV_1037","Gadus","genus"
"1205","ASV_1037","Gadus","genus"
"1206","ASV_1048","Gadus","genus"
"1207","ASV_1048","Gadus","genus"
"1208","ASV_1053","Gadus","genus"
"1209","ASV_1053","Gadus","genus"
